id,adminLevel,placeCode,value,countryCodeISO3,indicator
472,3,ET040907,2,ETH,Hotspot_Nutrition
473,3,ET040908,3,ETH,Hotspot_Nutrition
474,3,ET040909,2,ETH,Hotspot_Nutrition
475,3,ET040910,1,ETH,Hotspot_Nutrition
476,3,ET040911,3,ETH,Hotspot_Nutrition
477,3,ET040912,2,ETH,Hotspot_Nutrition
478,3,ET040913,2,ETH,Hotspot_Nutrition
479,3,ET040914,0.1,ETH,Hotspot_Nutrition
480,3,ET040915,1,ETH,Hotspot_Nutrition
481,3,ET040991,1,ETH,Hotspot_Nutrition
482,3,ET040998,1,ETH,Hotspot_Nutrition
483,3,ET041000,0.1,ETH,Hotspot_Nutrition
484,3,ET041001,1,ETH,Hotspot_Nutrition
485,3,ET041002,1,ETH,Hotspot_Nutrition
486,3,ET041003,1,ETH,Hotspot_Nutrition
487,3,ET041004,2,ETH,Hotspot_Nutrition
488,3,ET041005,1,ETH,Hotspot_Nutrition
489,3,ET041006,2,ETH,Hotspot_Nutrition
490,3,ET041007,2,ETH,Hotspot_Nutrition
