"pcode","date","dmp"
"KE003",2012-05-20,25.8789808917197
"KE020",2012-05-20,78.1413043478261
"KE045",2012-05-20,91.1375
"KE042",2012-05-20,77.6031746031746
"KE015",2012-05-20,29.7953608247423
"KE002",2012-05-20,28.1673076923077
"KE031",2012-05-20,60.6400651465798
"KE016",2012-05-20,53.2746113989637
"KE017",2012-05-20,46.7164750957854
"KE009",2012-05-20,20.55
"KE025",2012-05-20,43.5877061469265
"KE010",2012-05-20,15.9657836644592
"KE012",2012-05-20,58.7578475336323
"KE044",2012-05-20,80.4733727810651
"KE021",2012-05-20,76.4294478527607
"KE047",2012-05-20,38.8837209302326
"KE032",2012-05-20,61.0796460176991
"KE029",2012-05-20,81.4535519125683
"KE046",2012-05-20,91.1379310344828
"KE018",2012-05-20,63.0243902439024
"KE041",2012-05-20,82.4
"KE006",2012-05-20,20.7564102564103
"KE004",2012-05-20,9.91750503018109
"KE013",2012-05-20,58.6543209876543
"KE026",2012-05-20,60.6666666666667
"KE023",2012-05-20,29.7562674094708
"KE027",2012-05-20,58.9636363636364
"KE038",2012-05-20,86.6315789473684
"KE008",2012-05-20,10.8101160862355
"KE024",2012-05-20,61.3884156729131
"KE033",2012-05-20,63.5288966725044
"KE001",2012-05-20,19.4
"KE005",2012-05-20,32.5802139037433
"KE030",2012-05-31,69.1080291970803
"KE036",2012-05-31,84.953642384106
"KE039",2012-05-31,77.7021276595745
"KE040",2012-05-31,78.5327102803738
"KE028",2012-05-31,88.9282051282051
"KE014",2012-05-31,61.4795321637427
"KE007",2012-05-31,12.2521645021645
"KE043",2012-05-31,93.2814070351759
"KE019",2012-05-31,65.0048780487805
"KE011",2012-05-31,7.63277880468269
"KE034",2012-05-31,48.9602026049204
"KE037",2012-05-31,84.8730158730159
"KE035",2012-05-31,85.6064516129032
"KE022",2012-05-31,63.3141025641026
"KE003",2012-05-31,29.5057324840764
"KE020",2012-05-31,76.6413043478261
"KE045",2012-05-31,93.8
"KE042",2012-05-31,82.2063492063492
"KE015",2012-05-31,23.230412371134
"KE002",2012-05-31,31.2038461538462
"KE031",2012-05-31,61.2394136807818
"KE016",2012-05-31,50.6036269430052
"KE017",2012-05-31,41.2432950191571
"KE009",2012-05-31,16.1114457831325
"KE025",2012-05-31,39.4947526236882
"KE010",2012-05-31,11.5548686244204
"KE012",2012-05-31,53.0044843049327
"KE044",2012-05-31,82.112426035503
"KE021",2012-05-31,73
"KE047",2012-05-31,39.0697674418605
