wkt,name,highway,waterways,depth,vulnerability,fid
"MULTILINESTRING ((41.9536164 9.4669484, 41.9542044 9.4678887, 41.9548374 9.4686189, 41.9552988 9.469402, 41.9558138 9.4698994, 41.9559747 9.4705026, 41.9563502 9.4706613, 41.9565433 9.4708624, 41.9568652 9.4709365, 41.9569832 9.4712222, 41.9578308 9.4719841, 41.9585389 9.4724815, 41.9585918 9.4725037, 41.958968 9.4726614, 41.9606095 9.4730001, 41.9618755 9.4730953, 41.9635814 9.4729154, 41.9656306 9.4723757, 41.9671112 9.4733705, 41.9691068 9.4741218, 41.9700509 9.4748943, 41.9699758 9.4757198, 41.9699007 9.4758573, 41.9693535 9.4758997, 41.9689888 9.4757303))",,track,,0,no risk,106
"MULTILINESTRING ((42.0107266 9.4844261, 42.0103833 9.4849234, 42.0101687 9.4854525, 42.0102116 9.4865742, 42.010276 9.4868811, 42.0102867 9.4871563, 42.0101258 9.4873679, 42.0096323 9.4878335, 42.0089242 9.4882885, 42.0085379 9.4884896, 42.0083877 9.488606, 42.007862 9.4886589, 42.0070466 9.4888705, 42.0062312 9.4890399, 42.0056089 9.4893256, 42.0050725 9.4895795, 42.0045897 9.4896642, 42.004064 9.4900451, 42.0033022 9.4905425, 42.0027551 9.4908071, 42.0022079 9.491188, 42.0018753 9.4914949, 42.0012101 9.4920663, 42.0008132 9.4925319, 42.0004376 9.4930822, 42.0001909 9.4934102, 41.9997403 9.493516, 41.9991609 9.4938123, 41.9986674 9.4937488, 41.9980237 9.4937171, 41.9971868 9.4937594))",,unclassified,,0,no risk,107
"MULTILINESTRING ((42.049902 9.6360696, 42.0487504 9.6354832, 42.0478505 9.6350483, 42.0472152 9.634074, 42.0464769 9.6333619, 42.0464035 9.6332911, 42.0454682 9.6331694, 42.0452212 9.6337783, 42.0440213 9.6343698, 42.0433154 9.6357789, 42.0411097 9.6381971, 42.0403862 9.6400586, 42.0403156 9.6403891, 42.0396804 9.6413459, 42.0389392 9.6414503, 42.0380746 9.6423549, 42.0374393 9.6425985, 42.0371393 9.6430682, 42.0370335 9.644112, 42.0364159 9.6449123, 42.0358159 9.646391, 42.035163 9.6473999, 42.0349278 9.6478061))",,unclassified,,0,no risk,108
"MULTILINESTRING ((41.8833871 9.5945356, 41.8834515 9.5944689, 41.8834776 9.5944464, 41.8835105 9.5944378, 41.8835608 9.594453, 41.8836044 9.5944728, 41.8836332 9.5944834, 41.8837224 9.5944973, 41.8837928 9.5945019, 41.8838485 9.5945065, 41.8838806 9.5945112, 41.8839014 9.5945198, 41.8839376 9.5945449, 41.8840992 9.5946679, 41.8841289 9.5946942, 41.8841891 9.5947611, 41.8842139 9.5947869, 41.8842427 9.5948107, 41.8842984 9.594847, 41.8844446 9.5949059, 41.8845011 9.59493))",,residential,,0,no risk,109
"MULTILINESTRING ((41.8802623 9.5914433, 41.8801424 9.5917886))",,residential,,0,no risk,110
"MULTILINESTRING ((41.841369 9.6325423, 41.8415487 9.6321404, 41.8415618 9.6321075, 41.8417686 9.6315903, 41.8420744 9.6307666, 41.8422201 9.6303534, 41.8424553 9.6296865))",,residential,,0,no risk,111
"MULTILINESTRING ((41.8444079 9.6233913, 41.8443677 9.6233741, 41.8435719 9.6233483))",,service,,0,no risk,112
"MULTILINESTRING ((41.8480557 9.6209121, 41.8485385 9.6208294, 41.8486083 9.6208123, 41.8486418 9.6207944, 41.8487028 9.6207501))",,residential,,0,no risk,113
"MULTILINESTRING ((41.8350886 9.6138407, 41.8348664 9.6138968, 41.8347466 9.6139623, 41.8346528 9.6140334, 41.8346165 9.6141053, 41.8344142 9.6145122, 41.8342911 9.6148066, 41.83422 9.6149768, 41.8340917 9.6153928, 41.8339395 9.6159148, 41.8337935 9.6164222, 41.8337139 9.6168422, 41.8337274 9.616862))",,residential,,0,no risk,114
"MULTILINESTRING ((41.8356261 9.6128511, 41.8353036 9.612978, 41.8352428 9.6130248))",,residential,,0,no risk,115
"MULTILINESTRING ((41.8298583 9.6120953, 41.82992 9.6120305, 41.8300004 9.6119577, 41.8301252 9.6118943, 41.8306267 9.6117316))",,residential,,0,no risk,116
"MULTILINESTRING ((41.8508989 9.6145124, 41.8507701 9.6148439, 41.8507528 9.6148746, 41.8507337 9.6149083, 41.8506945 9.6149341, 41.8505815 9.6149581, 41.8505488 9.6149566))",,residential,,0,no risk,117
"MULTILINESTRING ((41.8525685 9.6100692, 41.8526282 9.6100831, 41.8527238 9.6100973, 41.852828 9.6101013, 41.8529662 9.6101118, 41.8529782 9.6101251))",,residential,,0,no risk,118
"MULTILINESTRING ((41.8527094 9.6139808, 41.8527241 9.6140152, 41.8527228 9.6140364, 41.8527053 9.6140615, 41.8526839 9.6140773, 41.852586 9.6141263, 41.8525474 9.6141299, 41.8525095 9.6141223))",,residential,,0,no risk,119
